Tue Oct 30 13:13:35 2018       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 396.44                 Driver Version: 396.44                    |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla K80           On   | 00000000:04:00.0 Off |                    0 |
| N/A   41C    P0    68W / 149W |   2951MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   1  Tesla K80           On   | 00000000:05:00.0 Off |                    0 |
| N/A   40C    P8    31W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   2  Tesla K80           On   | 00000000:84:00.0 Off |                    0 |
| N/A   23C    P8    26W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   3  Tesla K80           On   | 00000000:85:00.0 Off |                    0 |
| N/A   30C    P8    29W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     25640      C   julia                                       2940MiB |
+-----------------------------------------------------------------------------+
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
bp_deepsets
standard
500
4
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
4
-1
0
Loading MA2 model
load data
 38.801878 seconds (189.78 M allocations: 14.404 GiB, 6.61% gc time)
Epoch 34, current loss (training) 0.1222, current loss (val) 0.1275
Epoch 35, current loss (training) 0.1177, current loss (val) 0.1227
Epoch 36, current loss (training) 0.1119, current loss (val) 0.1175
Epoch 37, current loss (training) 0.1056, current loss (val) 0.1125
Epoch 38, current loss (training) 0.1041, current loss (val) 0.1082
Epoch 39, current loss (training) 0.1022, current loss (val) 0.1037
Epoch 40, current loss (training) 0.0976, current loss (val) 0.0997
Epoch 41, current loss (training) 0.0945, current loss (val) 0.0963
Epoch 42, current loss (training) 0.0894, current loss (val) 0.0932
Epoch 43, current loss (training) 0.0871, current loss (val) 0.0904
Epoch 44, current loss (training) 0.0851, current loss (val) 0.0879
Epoch 45, current loss (training) 0.0830, current loss (val) 0.0856
Epoch 46, current loss (training) 0.0804, current loss (val) 0.0835
Epoch 47, current loss (training) 0.0778, current loss (val) 0.0817
Epoch 48, current loss (training) 0.0779, current loss (val) 0.0801
Epoch 49, current loss (training) 0.0726, current loss (val) 0.0784
Epoch 50, current loss (training) 0.0750, current loss (val) 0.0773
Epoch 51, current loss (training) 0.0714, current loss (val) 0.0765
Epoch 52, current loss (training) 0.0743, current loss (val) 0.0758
Epoch 53, current loss (training) 0.0740, current loss (val) 0.0747
Epoch 54, current loss (training) 0.0732, current loss (val) 0.0742
Epoch 55, current loss (training) 0.0701, current loss (val) 0.0734
Epoch 56, current loss (training) 0.0715, current loss (val) 0.0733
Epoch 57, current loss (training) 0.0696, current loss (val) 0.0725
Epoch 58, current loss (training) 0.0699, current loss (val) 0.0720
Epoch 59, current loss (training) 0.0664, current loss (val) 0.0715
Epoch 60, current loss (training) 0.0694, current loss (val) 0.0712
Epoch 61, current loss (training) 0.0696, current loss (val) 0.0707
Epoch 62, current loss (training) 0.0676, current loss (val) 0.0703
Epoch 63, current loss (training) 0.0675, current loss (val) 0.0700
Epoch 64, current loss (training) 0.0686, current loss (val) 0.0697
Epoch 65, current loss (training) 0.0667, current loss (val) 0.0695
Epoch 66, current loss (training) 0.0670, current loss (val) 0.0693
Epoch 67, current loss (training) 0.0663, current loss (val) 0.0688
Epoch 68, current loss (training) 0.0674, current loss (val) 0.0685
Epoch 69, current loss (training) 0.0662, current loss (val) 0.0681
Epoch 70, current loss (training) 0.0654, current loss (val) 0.0678
Epoch 71, current loss (training) 0.0670, current loss (val) 0.0676
Epoch 72, current loss (training) 0.0658, current loss (val) 0.0673
Epoch 73, current loss (training) 0.0658, current loss (val) 0.0671
Epoch 74, current loss (training) 0.0667, current loss (val) 0.0668
Epoch 75, current loss (training) 0.0634, current loss (val) 0.0667
Epoch 76, current loss (training) 0.0636, current loss (val) 0.0664
Epoch 77, current loss (training) 0.0650, current loss (val) 0.0659
Epoch 78, current loss (training) 0.0641, current loss (val) 0.0656
Epoch 79, current loss (training) 0.0616, current loss (val) 0.0651
Epoch 80, current loss (training) 0.0631, current loss (val) 0.0646
Epoch 81, current loss (training) 0.0613, current loss (val) 0.0642
Epoch 82, current loss (training) 0.0602, current loss (val) 0.0638
Epoch 83, current loss (training) 0.0610, current loss (val) 0.0636
Epoch 84, current loss (training) 0.0610, current loss (val) 0.0634
Epoch 85, current loss (training) 0.0607, current loss (val) 0.0631
Epoch 86, current loss (training) 0.0595, current loss (val) 0.0629
Epoch 87, current loss (training) 0.0602, current loss (val) 0.0627
Epoch 88, current loss (training) 0.0621, current loss (val) 0.0625
Epoch 89, current loss (training) 0.0598, current loss (val) 0.0623
Epoch 90, current loss (training) 0.0588, current loss (val) 0.0621
Epoch 91, current loss (training) 0.0600, current loss (val) 0.0620
Epoch 92, current loss (training) 0.0598, current loss (val) 0.0617
Epoch 93, current loss (training) 0.0581, current loss (val) 0.0615
Epoch 94, current loss (training) 0.0574, current loss (val) 0.0614
Epoch 95, current loss (training) 0.0590, current loss (val) 0.0614
Epoch 96, current loss (training) 0.0578, current loss (val) 0.0610
Epoch 97, current loss (training) 0.0570, current loss (val) 0.0610
Epoch 98, current loss (training) 0.0601, current loss (val) 0.0610
Epoch 99, current loss (training) 0.0566, current loss (val) 0.0609
Epoch 100, current loss (training) 0.0566, current loss (val) 0.0605
Epoch 101, current loss (training) 0.0563, current loss (val) 0.0604
Epoch 102, current loss (training) 0.0568, current loss (val) 0.0601
Epoch 103, current loss (training) 0.0569, current loss (val) 0.0600
Epoch 104, current loss (training) 0.0577, current loss (val) 0.0599
Epoch 105, current loss (training) 0.0561, current loss (val) 0.0597
Epoch 106, current loss (training) 0.0566, current loss (val) 0.0596
Epoch 107, current loss (training) 0.0564, current loss (val) 0.0595
Epoch 108, current loss (training) 0.0554, current loss (val) 0.0593
Epoch 109, current loss (training) 0.0563, current loss (val) 0.0595
Epoch 110, current loss (training) 0.0560, current loss (val) 0.0591
Epoch 111, current loss (training) 0.0560, current loss (val) 0.0590
Epoch 112, current loss (training) 0.0550, current loss (val) 0.0588
Epoch 113, current loss (training) 0.0561, current loss (val) 0.0587
Epoch 114, current loss (training) 0.0551, current loss (val) 0.0586
Epoch 115, current loss (training) 0.0547, current loss (val) 0.0584
Epoch 116, current loss (training) 0.0542, current loss (val) 0.0583
Epoch 117, current loss (training) 0.0532, current loss (val) 0.0581
Epoch 118, current loss (training) 0.0546, current loss (val) 0.0583
Epoch 119, current loss (training) 0.0534, current loss (val) 0.0582
Epoch 120, current loss (training) 0.0538, current loss (val) 0.0581
Epoch 121, current loss (training) 0.0535, current loss (val) 0.0577
Epoch 122, current loss (training) 0.0536, current loss (val) 0.0577
Epoch 123, current loss (training) 0.0540, current loss (val) 0.0574
Epoch 124, current loss (training) 0.0528, current loss (val) 0.0574
Epoch 125, current loss (training) 0.0543, current loss (val) 0.0572
Epoch 126, current loss (training) 0.0533, current loss (val) 0.0570
Epoch 127, current loss (training) 0.0530, current loss (val) 0.0570
Epoch 128, current loss (training) 0.0531, current loss (val) 0.0569
Epoch 129, current loss (training) 0.0537, current loss (val) 0.0568
Epoch 130, current loss (training) 0.0528, current loss (val) 0.0568
Epoch 131, current loss (training) 0.0539, current loss (val) 0.0567
Epoch 132, current loss (training) 0.0538, current loss (val) 0.0568
Epoch 133, current loss (training) 0.0536, current loss (val) 0.0565
Epoch 134, current loss (training) 0.0527, current loss (val) 0.0564
Epoch 135, current loss (training) 0.0519, current loss (val) 0.0561
Epoch 136, current loss (training) 0.0528, current loss (val) 0.0560
Epoch 137, current loss (training) 0.0513, current loss (val) 0.0558
Epoch 138, current loss (training) 0.0521, current loss (val) 0.0559
Epoch 139, current loss (training) 0.0529, current loss (val) 0.0557
Epoch 140, current loss (training) 0.0539, current loss (val) 0.0556
Epoch 141, current loss (training) 0.0518, current loss (val) 0.0556
Epoch 142, current loss (training) 0.0510, current loss (val) 0.0554
Epoch 143, current loss (training) 0.0507, current loss (val) 0.0553
Epoch 144, current loss (training) 0.0509, current loss (val) 0.0553
Epoch 145, current loss (training) 0.0502, current loss (val) 0.0551
Epoch 146, current loss (training) 0.0503, current loss (val) 0.0551
Epoch 147, current loss (training) 0.0513, current loss (val) 0.0549
Epoch 148, current loss (training) 0.0509, current loss (val) 0.0551
Epoch 149, current loss (training) 0.0507, current loss (val) 0.0549
Epoch 150, current loss (training) 0.0508, current loss (val) 0.0547
Epoch 151, current loss (training) 0.0510, current loss (val) 0.0547
Epoch 152, current loss (training) 0.0517, current loss (val) 0.0544
Epoch 153, current loss (training) 0.0500, current loss (val) 0.0544
Epoch 154, current loss (training) 0.0485, current loss (val) 0.0544
Epoch 155, current loss (training) 0.0488, current loss (val) 0.0543
Epoch 156, current loss (training) 0.0512, current loss (val) 0.0540
Epoch 157, current loss (training) 0.0498, current loss (val) 0.0540
Epoch 158, current loss (training) 0.0491, current loss (val) 0.0539
Epoch 159, current loss (training) 0.0486, current loss (val) 0.0538
Epoch 160, current loss (training) 0.0477, current loss (val) 0.0540
Epoch 161, current loss (training) 0.0499, current loss (val) 0.0538
Epoch 162, current loss (training) 0.0481, current loss (val) 0.0535
Epoch 163, current loss (training) 0.0507, current loss (val) 0.0536
Epoch 164, current loss (training) 0.0488, current loss (val) 0.0533
Epoch 165, current loss (training) 0.0483, current loss (val) 0.0535
Epoch 166, current loss (training) 0.0487, current loss (val) 0.0532
Epoch 167, current loss (training) 0.0492, current loss (val) 0.0532
Epoch 168, current loss (training) 0.0477, current loss (val) 0.0530
Epoch 169, current loss (training) 0.0494, current loss (val) 0.0535
Epoch 170, current loss (training) 0.0497, current loss (val) 0.0538
Epoch 171, current loss (training) 0.0493, current loss (val) 0.0532
Epoch 172, current loss (training) 0.0471, current loss (val) 0.0529
Epoch 173, current loss (training) 0.0481, current loss (val) 0.0527
Epoch 174, current loss (training) 0.0502, current loss (val) 0.0527
Epoch 175, current loss (training) 0.0474, current loss (val) 0.0525
Epoch 176, current loss (training) 0.0467, current loss (val) 0.0525
Epoch 177, current loss (training) 0.0475, current loss (val) 0.0524
Epoch 178, current loss (training) 0.0470, current loss (val) 0.0525
Epoch 179, current loss (training) 0.0486, current loss (val) 0.0526
Epoch 180, current loss (training) 0.0479, current loss (val) 0.0522
Epoch 181, current loss (training) 0.0474, current loss (val) 0.0522
Epoch 182, current loss (training) 0.0464, current loss (val) 0.0519
Epoch 183, current loss (training) 0.0474, current loss (val) 0.0519
Epoch 184, current loss (training) 0.0466, current loss (val) 0.0518
Epoch 185, current loss (training) 0.0471, current loss (val) 0.0516
Epoch 186, current loss (training) 0.0466, current loss (val) 0.0517
Epoch 187, current loss (training) 0.0462, current loss (val) 0.0515
Epoch 188, current loss (training) 0.0459, current loss (val) 0.0519
Epoch 189, current loss (training) 0.0464, current loss (val) 0.0514
Epoch 190, current loss (training) 0.0473, current loss (val) 0.0519
Epoch 191, current loss (training) 0.0465, current loss (val) 0.0514
Epoch 192, current loss (training) 0.0453, current loss (val) 0.0515
Epoch 193, current loss (training) 0.0459, current loss (val) 0.0513
Epoch 194, current loss (training) 0.0462, current loss (val) 0.0512
Epoch 195, current loss (training) 0.0469, current loss (val) 0.0510
Epoch 196, current loss (training) 0.0461, current loss (val) 0.0510
Epoch 197, current loss (training) 0.0469, current loss (val) 0.0513
Epoch 198, current loss (training) 0.0449, current loss (val) 0.0512
Epoch 199, current loss (training) 0.0453, current loss (val) 0.0508
Epoch 200, current loss (training) 0.0444, current loss (val) 0.0509
Epoch 201, current loss (training) 0.0445, current loss (val) 0.0507
Epoch 202, current loss (training) 0.0453, current loss (val) 0.0507
Epoch 203, current loss (training) 0.0445, current loss (val) 0.0508
Epoch 204, current loss (training) 0.0460, current loss (val) 0.0506
Epoch 205, current loss (training) 0.0463, current loss (val) 0.0505
Epoch 206, current loss (training) 0.0466, current loss (val) 0.0504
Epoch 207, current loss (training) 0.0449, current loss (val) 0.0505
Epoch 208, current loss (training) 0.0448, current loss (val) 0.0503
Epoch 209, current loss (training) 0.0432, current loss (val) 0.0502
Epoch 210, current loss (training) 0.0441, current loss (val) 0.0501
Epoch 211, current loss (training) 0.0446, current loss (val) 0.0502
Epoch 212, current loss (training) 0.0453, current loss (val) 0.0501
Epoch 213, current loss (training) 0.0420, current loss (val) 0.0500
Epoch 214, current loss (training) 0.0453, current loss (val) 0.0499
Epoch 215, current loss (training) 0.0434, current loss (val) 0.0501
Epoch 216, current loss (training) 0.0434, current loss (val) 0.0498
Epoch 217, current loss (training) 0.0452, current loss (val) 0.0501
Epoch 218, current loss (training) 0.0450, current loss (val) 0.0498
Epoch 219, current loss (training) 0.0434, current loss (val) 0.0498
Epoch 220, current loss (training) 0.0453, current loss (val) 0.0497
Epoch 221, current loss (training) 0.0445, current loss (val) 0.0500
Epoch 222, current loss (training) 0.0432, current loss (val) 0.0495
Epoch 223, current loss (training) 0.0435, current loss (val) 0.0496
Epoch 224, current loss (training) 0.0437, current loss (val) 0.0495
Epoch 225, current loss (training) 0.0442, current loss (val) 0.0496
Epoch 226, current loss (training) 0.0442, current loss (val) 0.0496
Epoch 227, current loss (training) 0.0433, current loss (val) 0.0497
Epoch 228, current loss (training) 0.0425, current loss (val) 0.0493
Epoch 229, current loss (training) 0.0434, current loss (val) 0.0496
Epoch 230, current loss (training) 0.0437, current loss (val) 0.0492
Epoch 231, current loss (training) 0.0433, current loss (val) 0.0492
Epoch 232, current loss (training) 0.0417, current loss (val) 0.0492
Epoch 233, current loss (training) 0.0429, current loss (val) 0.0494
Epoch 234, current loss (training) 0.0433, current loss (val) 0.0493
Epoch 235, current loss (training) 0.0431, current loss (val) 0.0489
Epoch 236, current loss (training) 0.0442, current loss (val) 0.0493
Epoch 237, current loss (training) 0.0438, current loss (val) 0.0489
Epoch 238, current loss (training) 0.0428, current loss (val) 0.0490
Epoch 239, current loss (training) 0.0423, current loss (val) 0.0489
Epoch 240, current loss (training) 0.0423, current loss (val) 0.0489
Epoch 241, current loss (training) 0.0425, current loss (val) 0.0489
Epoch 242, current loss (training) 0.0434, current loss (val) 0.0494
Epoch 243, current loss (training) 0.0425, current loss (val) 0.0489
Epoch 244, current loss (training) 0.0432, current loss (val) 0.0486
Epoch 245, current loss (training) 0.0424, current loss (val) 0.0486
Epoch 246, current loss (training) 0.0427, current loss (val) 0.0486
Epoch 247, current loss (training) 0.0437, current loss (val) 0.0485
Epoch 248, current loss (training) 0.0422, current loss (val) 0.0488
Epoch 249, current loss (training) 0.0429, current loss (val) 0.0488
Epoch 250, current loss (training) 0.0412, current loss (val) 0.0486
Epoch 251, current loss (training) 0.0417, current loss (val) 0.0485
Epoch 252, current loss (training) 0.0420, current loss (val) 0.0484
Epoch 253, current loss (training) 0.0411, current loss (val) 0.0482
Epoch 254, current loss (training) 0.0419, current loss (val) 0.0485
Epoch 255, current loss (training) 0.0410, current loss (val) 0.0481
Epoch 256, current loss (training) 0.0419, current loss (val) 0.0482
Epoch 257, current loss (training) 0.0427, current loss (val) 0.0482
Epoch 258, current loss (training) 0.0426, current loss (val) 0.0481
Epoch 259, current loss (training) 0.0421, current loss (val) 0.0480
Epoch 260, current loss (training) 0.0422, current loss (val) 0.0483
Epoch 261, current loss (training) 0.0430, current loss (val) 0.0480
Epoch 262, current loss (training) 0.0403, current loss (val) 0.0482
Epoch 263, current loss (training) 0.0405, current loss (val) 0.0481
Epoch 264, current loss (training) 0.0407, current loss (val) 0.0478
Epoch 265, current loss (training) 0.0405, current loss (val) 0.0478
Epoch 266, current loss (training) 0.0421, current loss (val) 0.0477
Epoch 267, current loss (training) 0.0403, current loss (val) 0.0480
Epoch 268, current loss (training) 0.0401, current loss (val) 0.0477
Epoch 269, current loss (training) 0.0402, current loss (val) 0.0478
Epoch 270, current loss (training) 0.0402, current loss (val) 0.0476
Epoch 271, current loss (training) 0.0415, current loss (val) 0.0475
Epoch 272, current loss (training) 0.0395, current loss (val) 0.0477
Epoch 273, current loss (training) 0.0407, current loss (val) 0.0474
Epoch 274, current loss (training) 0.0416, current loss (val) 0.0474
Epoch 275, current loss (training) 0.0413, current loss (val) 0.0473
Epoch 276, current loss (training) 0.0411, current loss (val) 0.0479
Epoch 277, current loss (training) 0.0396, current loss (val) 0.0473
Epoch 278, current loss (training) 0.0409, current loss (val) 0.0476
Epoch 279, current loss (training) 0.0419, current loss (val) 0.0474
Epoch 280, current loss (training) 0.0411, current loss (val) 0.0482
Epoch 281, current loss (training) 0.0405, current loss (val) 0.0472
Epoch 282, current loss (training) 0.0388, current loss (val) 0.0472
Epoch 283, current loss (training) 0.0400, current loss (val) 0.0470
Epoch 284, current loss (training) 0.0397, current loss (val) 0.0470
Epoch 285, current loss (training) 0.0403, current loss (val) 0.0471
Epoch 286, current loss (training) 0.0395, current loss (val) 0.0471
Epoch 287, current loss (training) 0.0412, current loss (val) 0.0470
Epoch 288, current loss (training) 0.0391, current loss (val) 0.0472
Epoch 289, current loss (training) 0.0391, current loss (val) 0.0469
Epoch 290, current loss (training) 0.0408, current loss (val) 0.0472
Epoch 291, current loss (training) 0.0407, current loss (val) 0.0470
Epoch 292, current loss (training) 0.0403, current loss (val) 0.0468
Epoch 293, current loss (training) 0.0394, current loss (val) 0.0470
Epoch 294, current loss (training) 0.0393, current loss (val) 0.0467
Epoch 295, current loss (training) 0.0398, current loss (val) 0.0466
Epoch 296, current loss (training) 0.0397, current loss (val) 0.0467
Epoch 297, current loss (training) 0.0399, current loss (val) 0.0470
Epoch 298, current loss (training) 0.0400, current loss (val) 0.0465
Epoch 299, current loss (training) 0.0392, current loss (val) 0.0468
Epoch 300, current loss (training) 0.0395, current loss (val) 0.0464
Epoch 301, current loss (training) 0.0387, current loss (val) 0.0468
Epoch 302, current loss (training) 0.0392, current loss (val) 0.0466
Epoch 303, current loss (training) 0.0411, current loss (val) 0.0475
Epoch 304, current loss (training) 0.0385, current loss (val) 0.0464
Epoch 305, current loss (training) 0.0400, current loss (val) 0.0464
Epoch 306, current loss (training) 0.0400, current loss (val) 0.0467
Epoch 307, current loss (training) 0.0383, current loss (val) 0.0466
Epoch 308, current loss (training) 0.0384, current loss (val) 0.0464
Epoch 309, current loss (training) 0.0392, current loss (val) 0.0464
Epoch 310, current loss (training) 0.0398, current loss (val) 0.0465
Epoch 311, current loss (training) 0.0392, current loss (val) 0.0463
Epoch 312, current loss (training) 0.0390, current loss (val) 0.0462
Epoch 313, current loss (training) 0.0389, current loss (val) 0.0461
Epoch 314, current loss (training) 0.0389, current loss (val) 0.0462
Epoch 315, current loss (training) 0.0384, current loss (val) 0.0461
Epoch 316, current loss (training) 0.0389, current loss (val) 0.0459
Epoch 317, current loss (training) 0.0382, current loss (val) 0.0466
Epoch 318, current loss (training) 0.0384, current loss (val) 0.0459
Epoch 319, current loss (training) 0.0374, current loss (val) 0.0459
Epoch 320, current loss (training) 0.0399, current loss (val) 0.0461
Epoch 321, current loss (training) 0.0381, current loss (val) 0.0459
Epoch 322, current loss (training) 0.0378, current loss (val) 0.0458
Epoch 323, current loss (training) 0.0399, current loss (val) 0.0461
Epoch 324, current loss (training) 0.0387, current loss (val) 0.0458
Epoch 325, current loss (training) 0.0382, current loss (val) 0.0461
Epoch 326, current loss (training) 0.0380, current loss (val) 0.0457
Epoch 327, current loss (training) 0.0381, current loss (val) 0.0459
Epoch 328, current loss (training) 0.0376, current loss (val) 0.0456
Epoch 329, current loss (training) 0.0385, current loss (val) 0.0457
Epoch 330, current loss (training) 0.0396, current loss (val) 0.0460
Epoch 331, current loss (training) 0.0375, current loss (val) 0.0457
Epoch 332, current loss (training) 0.0378, current loss (val) 0.0457
Epoch 333, current loss (training) 0.0381, current loss (val) 0.0458
Epoch 334, current loss (training) 0.0369, current loss (val) 0.0453
Epoch 335, current loss (training) 0.0381, current loss (val) 0.0457
Epoch 336, current loss (training) 0.0391, current loss (val) 0.0456
Epoch 337, current loss (training) 0.0383, current loss (val) 0.0457
Epoch 338, current loss (training) 0.0388, current loss (val) 0.0458
Epoch 339, current loss (training) 0.0373, current loss (val) 0.0455
Epoch 340, current loss (training) 0.0377, current loss (val) 0.0452
Epoch 341, current loss (training) 0.0373, current loss (val) 0.0454
Epoch 342, current loss (training) 0.0373, current loss (val) 0.0451
Epoch 343, current loss (training) 0.0381, current loss (val) 0.0451
Epoch 344, current loss (training) 0.0371, current loss (val) 0.0455
Epoch 345, current loss (training) 0.0369, current loss (val) 0.0452
Epoch 346, current loss (training) 0.0372, current loss (val) 0.0452
Epoch 347, current loss (training) 0.0381, current loss (val) 0.0450
Epoch 348, current loss (training) 0.0366, current loss (val) 0.0451
Epoch 349, current loss (training) 0.0381, current loss (val) 0.0451
Epoch 350, current loss (training) 0.0381, current loss (val) 0.0451
Epoch 351, current loss (training) 0.0378, current loss (val) 0.0457
Epoch 352, current loss (training) 0.0374, current loss (val) 0.0453
Epoch 353, current loss (training) 0.0387, current loss (val) 0.0450
Epoch 354, current loss (training) 0.0368, current loss (val) 0.0450
Epoch 355, current loss (training) 0.0363, current loss (val) 0.0446
Epoch 356, current loss (training) 0.0367, current loss (val) 0.0449
Epoch 357, current loss (training) 0.0373, current loss (val) 0.0448
Epoch 358, current loss (training) 0.0375, current loss (val) 0.0447
Epoch 359, current loss (training) 0.0380, current loss (val) 0.0446
Epoch 360, current loss (training) 0.0374, current loss (val) 0.0454
Epoch 361, current loss (training) 0.0365, current loss (val) 0.0447
Epoch 362, current loss (training) 0.0383, current loss (val) 0.0448
Epoch 363, current loss (training) 0.0361, current loss (val) 0.0447
Epoch 364, current loss (training) 0.0363, current loss (val) 0.0445
Epoch 365, current loss (training) 0.0354, current loss (val) 0.0444
Epoch 366, current loss (training) 0.0370, current loss (val) 0.0446
Epoch 367, current loss (training) 0.0370, current loss (val) 0.0445
Epoch 368, current loss (training) 0.0373, current loss (val) 0.0452
Epoch 369, current loss (training) 0.0366, current loss (val) 0.0445
Epoch 370, current loss (training) 0.0368, current loss (val) 0.0443
Epoch 371, current loss (training) 0.0362, current loss (val) 0.0448
